Crossover;Mutation;AvgFitness;StdDevFitness
0,50;0,20;-6972,9400;17203,9758
0,50;0,10;-7965,2000;19020,5665
0,50;0,05;-9032,4200;20353,0178
0,50;0,01;-14323,1000;24842,5270
0,60;0,20;-6746,6200;16895,8346
0,60;0,10;-7332,8200;17804,9194
0,60;0,05;-9347,7200;21231,8785
0,60;0,01;-13509,3200;24923,3178
0,70;0,20;-6655,8000;16845,5254
0,70;0,10;-7481,6800;18323,9763
0,70;0,05;-8419,1000;19540,7238
0,70;0,01;-13539,1600;24568,0658
0,80;0,20;-6664,5800;16537,1058
0,80;0,10;-7071,8400;17334,2489
0,80;0,05;-8140,9800;18973,6683
0,80;0,01;-13295,5600;25777,0255
0,90;0,20;-6647,5400;16855,6168
0,90;0,10;-7226,7000;17847,4091
0,90;0,05;-8133,7800;19213,5007
0,90;0,01;-11964,8000;23017,9571
1,00;0,20;-6541,5000;16356,9536
1,00;0,10;-7041,2800;17575,2739
1,00;0,05;-8076,0000;19205,8092
1,00;0,01;-11841,0200;23611,1454
