Run,GensToRandom,GensToRel,GensToMaxDif
0,0,202,361
1,0,228,409
2,0,210,384
3,0,228,404
4,0,214,503
5,0,216,379
6,0,176,342
7,0,225,378
8,0,177,231
9,0,210,346
10,0,209,368
11,0,231,351
12,0,242,376
13,0,203,371
14,0,233,449
15,0,240,379
16,0,220,446
17,0,236,426
18,0,174,318
19,0,219,385
20,0,184,388
21,0,217,340
22,0,226,378
23,0,202,425
24,0,215,359
25,0,230,381
26,0,214,343
27,0,207,350
28,0,198,361
29,0,218,360
30,0,295,419
31,0,212,380
32,0,202,313
33,0,219,446
34,0,205,357
35,0,274,408
36,0,258,434
37,0,189,358
38,0,204,362
39,0,225,428
40,0,216,369
41,0,196,316
42,0,235,383
43,0,184,311
44,0,227,403
45,0,209,431
46,0,204,308
47,0,201,341
48,0,193,354
49,0,232,344
